RM,Capital,UF,Municipio_Acentuado,Municipio
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,RIO ACIMA,RIO ACIMA
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,RIO MANSO,RIO MANSO
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,SABARÁ,SABARA
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,SANTA LUZIA,SANTA LUZIA
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,SÃO JOAQUIM DE BICAS,SAO JOAQUIM DE BICAS
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,SÃO JOSÉ DA LAPA,SAO JOSE DA LAPA
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,SARZEDO,SARZEDO
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,TAQUARAÇU DE MINAS,TAQUARACU DE MINAS
Região Metropolitana de Belo Horizonte,Belo Horizonte,MINAS GERAIS,VESPASIANO,VESPASIANO
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,BELFORD ROXO,BELFORD ROXO
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,CACHOEIRAS DE MACACU,CACHOEIRAS DE MACACU
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,DUQUE DE CAXIAS,DUQUE DE CAXIAS
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,GUAPIMIRIM,GUAPIMIRIM
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,ITABORAÍ,ITABORAI
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,ITAGUAÍ,ITAGUAI
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,JAPERI,JAPERI
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,MAGÉ,MAGE
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,MARICÁ,MARICA
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,MESQUITA,MESQUITA
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,NILÓPOLIS,NILOPOLIS
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,NITERÓI,NITEROI
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,NOVA IGUAÇU,NOVA IGUACU
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,PARACAMBI,PARACAMBI
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,PETRÓPOLIS,PETROPOLIS
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,QUEIMADOS,QUEIMADOS
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,RIO BONITO,RIO BONITO
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,RIO DE JANEIRO,RIO DE JANEIRO
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,SÃO GONÇALO,SAO GONCALO
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,SÃO JOÃO DE MERITI,SAO JOAO DE MERITI
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,SEROPÉDICA,SEROPEDICA
Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RIO DE JANEIRO,TANGUÁ,TANGUA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,ARUJÁ,ARUJA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,BIRITIBA MIRIM,BIRITIBA MIRIM
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,FERRAZ DE VASCONCELOS,FERRAZ DE VASCONCELOS
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,GUARAREMA,GUARAREMA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,GUARULHOS,GUARULHOS
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,ITAQUAQUECETUBA,ITAQUAQUECETUBA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,MOGI DAS CRUZES,MOGI DAS CRUZES
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,POÁ,POA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SALESÓPOLIS,SALESOPOLIS
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SANTA ISABEL,SANTA ISABEL
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SUZANO,SUZANO
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,CAIEIRAS,CAIEIRAS
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,CAJAMAR,CAJAMAR
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,FRANCISCO MORATO,FRANCISCO MORATO
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,FRANCO DA ROCHA,FRANCO DA ROCHA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,MAIRIPORÃ,MAIRIPORA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,BARUERI,BARUERI
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,CARAPICUÍBA,CARAPICUIBA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,ITAPEVI,ITAPEVI
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,JANDIRA,JANDIRA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,OSASCO,OSASCO
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,PIRAPORA DO BOM JESUS,PIRAPORA DO BOM JESUS
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SANTANA DE PARNAÍBA,SANTANA DE PARNAIBA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,DIADEMA,DIADEMA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,MAUÁ,MAUA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,RIBEIRÃO PIRES,RIBEIRAO PIRES
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,RIO GRANDE DA SERRA,RIO GRANDE DA SERRA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SANTO ANDRÉ,SANTO ANDRE
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SÃO BERNARDO DO CAMPO,SAO BERNARDO DO CAMPO
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SÃO CAETANO DO SUL,SAO CAETANO DO SUL
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,COTIA,COTIA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,EMBU DAS ARTES,EMBU DAS ARTES
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,EMBU-GUAÇU,EMBU-GUACU
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,ITAPECERICA DA SERRA,ITAPECERICA DA SERRA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,JUQUITIBA,JUQUITIBA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SÃO LOURENÇO DA SERRA,SAO LOURENCO DA SERRA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,TABOÃO DA SERRA,TABOAO DA SERRA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,VARGEM GRANDE PAULISTA,VARGEM GRANDE PAULISTA
Região Metropolitana de São Paulo,São Paulo,SAO PAULO,SÃO PAULO,SAO PAULO
Região Metropolitana de Curitiba,Curitiba,PARANA,ADRIANÓPOLIS,ADRIANOPOLIS
Região Metropolitana de Curitiba,Curitiba,PARANA,AGUDOS DO SUL,AGUDOS DO SUL
Região Metropolitana de Curitiba,Curitiba,PARANA,ALMIRANTE TAMANDARÉ,ALMIRANTE TAMANDARE
Região Metropolitana de Curitiba,Curitiba,PARANA,ARAUCÁRIA,ARAUCARIA
Região Metropolitana de Curitiba,Curitiba,PARANA,BALSA NOVA,BALSA NOVA
Região Metropolitana de Curitiba,Curitiba,PARANA,BOCAIÚVA DO SUL,BOCAIUVA DO SUL
Região Metropolitana de Curitiba,Curitiba,PARANA,CAMPINA GRANDE DO SUL,CAMPINA GRANDE DO SUL
Região Metropolitana de Curitiba,Curitiba,PARANA,CAMPO DO TENENTE,CAMPO DO TENENTE
Região Metropolitana de Curitiba,Curitiba,PARANA,CAMPO LARGO,CAMPO LARGO
Região Metropolitana de Curitiba,Curitiba,PARANA,CAMPO MAGRO,CAMPO MAGRO
Região Metropolitana de Curitiba,Curitiba,PARANA,CERRO AZUL,CERRO AZUL
Região Metropolitana de Curitiba,Curitiba,PARANA,COLOMBO,COLOMBO
Região Metropolitana de Curitiba,Curitiba,PARANA,CONTENDA,CONTENDA
Região Metropolitana de Curitiba,Curitiba,PARANA,CURITIBA,CURITIBA
Região Metropolitana de Curitiba,Curitiba,PARANA,DOUTOR ULYSSES,DOUTOR ULYSSES
Região Metropolitana de Curitiba,Curitiba,PARANA,FAZENDA RIO GRANDE,FAZENDA RIO GRANDE
Região Metropolitana de Curitiba,Curitiba,PARANA,ITAPERUÇU,ITAPERUCU
Região Metropolitana de Curitiba,Curitiba,PARANA,LAPA,LAPA
Região Metropolitana de Curitiba,Curitiba,PARANA,MANDIRITUBA,MANDIRITUBA
Região Metropolitana de Curitiba,Curitiba,PARANA,PIÊN,PIEN
Região Metropolitana de Curitiba,Curitiba,PARANA,PINHAIS,PINHAIS
Região Metropolitana de Curitiba,Curitiba,PARANA,PIRAQUARA,PIRAQUARA
Região Metropolitana de Curitiba,Curitiba,PARANA,QUATRO BARRAS,QUATRO BARRAS
Região Metropolitana de Curitiba,Curitiba,PARANA,QUITANDINHA,QUITANDINHA
Região Metropolitana de Curitiba,Curitiba,PARANA,RIO BRANCO DO SUL,RIO BRANCO DO SUL
Região Metropolitana de Curitiba,Curitiba,PARANA,RIO NEGRO,RIO NEGRO
Região Metropolitana de Curitiba,Curitiba,PARANA,SÃO JOSÉ DOS PINHAIS,SAO JOSE DOS PINHAIS
Região Metropolitana de Curitiba,Curitiba,PARANA,TIJUCAS DO SUL,TIJUCAS DO SUL
Região Metropolitana de Curitiba,Curitiba,PARANA,TUNAS DO PARANÁ,TUNAS DO PARANA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,ALVORADA,ALVORADA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,ARARICÁ,ARARICA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,ARROIO DOS RATOS,ARROIO DOS RATOS
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,CACHOEIRINHA,CACHOEIRINHA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,CAMPO BOM,CAMPO BOM
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,CANOAS,CANOAS
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,CAPELA DE SANTANA,CAPELA DE SANTANA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,CHARQUEADAS,CHARQUEADAS
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,DOIS IRMÃOS,DOIS IRMAOS
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,ELDORADO DO SUL,ELDORADO DO SUL
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,ESTÂNCIA VELHA,ESTANCIA VELHA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,ESTEIO,ESTEIO
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,GLORINHA,GLORINHA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,GRAVATAÍ,GRAVATAI
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,GUAÍBA,GUAIBA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,IGREJINHA,IGREJINHA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,IVOTI,IVOTI
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,MONTENEGRO,MONTENEGRO
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,NOVA HARTZ,NOVA HARTZ
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,NOVA SANTA RITA,NOVA SANTA RITA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,NOVO HAMBURGO,NOVO HAMBURGO
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,PAROBÉ,PAROBE
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,PORTÃO,PORTAO
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,PORTO ALEGRE,PORTO ALEGRE
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,ROLANTE,ROLANTE
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,SANTO ANTÔNIO DA PATRULHA,SANTO ANTONIO DA PATRULHA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,SÃO JERÔNIMO,SAO JERONIMO
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,SÃO LEOPOLDO,SAO LEOPOLDO
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,SÃO SEBASTIÃO DO CAÍ,SAO SEBASTIAO DO CAI
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,SAPIRANGA,SAPIRANGA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,SAPUCAIA DO SUL,SAPUCAIA DO SUL
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,TAQUARA,TAQUARA
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,TRIUNFO,TRIUNFO
Região Metropolitana de Porto Alegre,Porto Alegre,RIO GRANDE DO SUL,VIAMÃO,VIAMAO
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,ALFREDO WAGNER,ALFREDO WAGNER
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,ANGELINA,ANGELINA
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,ANITÁPOLIS,ANITAPOLIS
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,CANELINHA,CANELINHA
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,GAROPABA,GAROPABA
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,LEOBERTO LEAL,LEOBERTO LEAL
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,MAJOR GERCINO,MAJOR GERCINO
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,NOVA TRENTO,NOVA TRENTO
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,PAULO LOPES,PAULO LOPES
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,RANCHO QUEIMADO,RANCHO QUEIMADO
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,SÃO BONIFÁCIO,SAO BONIFACIO
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,SÃO JOÃO BATISTA,SAO JOAO BATISTA
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,TIJUCAS,TIJUCAS
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,ÁGUAS MORNAS,AGUAS MORNAS
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,ANTÔNIO CARLOS,ANTONIO CARLOS
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,BIGUAÇU,BIGUACU
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,FLORIANÓPOLIS,FLORIANOPOLIS
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,GOVERNADOR CELSO RAMOS,GOVERNADOR CELSO RAMOS
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,PALHOÇA,PALHOCA
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,SANTO AMARO DA IMPERATRIZ,SANTO AMARO DA IMPERATRIZ
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,SÃO JOSÉ,SAO JOSE
Região Metropolitana de Florianópolis,Florianópolis,SANTA CATARINA,SÃO PEDRO DE ALCÂNTARA,SAO PEDRO DE ALCANTARA
